Volume Fraction,Matrix Material,Fibre Material,Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Type,Composite Yield Strain
0.05,3,1,2070,0.36,1770,220000,0.2,0.1,1,0.02764
0.05,3,1,2070,0.36,1770,220000,0.2,0.2,1,0.02734
0.05,3,1,2070,0.36,1770,220000,0.2,0.3,1,0.02662
0.05,3,2,2070,0.36,2540,75000,0.22,0.1,1,0.02803
0.05,3,2,2070,0.36,2540,75000,0.22,0.2,1,0.02766
0.05,3,2,2070,0.36,2540,75000,0.22,0.3,1,0.02696
0.05,3,3,2070,0.36,1470,150000,0.35,0.1,1,0.02779
0.05,3,3,2070,0.36,1470,150000,0.35,0.2,1,0.02746
0.05,3,3,2070,0.36,1470,150000,0.35,0.3,1,0.02676
0.05,3,4,2070,0.36,2530,85000,0.21,0.1,1,0.02797
0.05,3,4,2070,0.36,2530,85000,0.21,0.2,1,0.02762
0.05,3,4,2070,0.36,2530,85000,0.21,0.3,1,0.02691
0.1,3,1,2070,0.36,1770,220000,0.2,0.1,1,0.02476
0.1,3,1,2070,0.36,1770,220000,0.2,0.2,1,0.02474
0.1,3,1,2070,0.36,1770,220000,0.2,0.3,1,0.02463
0.1,3,2,2070,0.36,2540,75000,0.22,0.1,1,0.02519
0.1,3,2,2070,0.36,2540,75000,0.22,0.2,1,0.02519
0.1,3,2,2070,0.36,2540,75000,0.22,0.3,1,0.02495
0.1,3,3,2070,0.36,1470,150000,0.35,0.1,1,0.02492
0.1,3,3,2070,0.36,1470,150000,0.35,0.2,1,0.02491
0.1,3,3,2070,0.36,1470,150000,0.35,0.3,1,0.02474
0.1,3,4,2070,0.36,2530,85000,0.21,0.1,1,0.02512
0.1,3,4,2070,0.36,2530,85000,0.21,0.2,1,0.02512
0.1,3,4,2070,0.36,2530,85000,0.21,0.3,1,0.02489
0.15,3,1,2070,0.36,1770,220000,0.2,0.1,1,0.02191
0.15,3,1,2070,0.36,1770,220000,0.2,0.2,1,0.02186
0.15,3,1,2070,0.36,1770,220000,0.2,0.3,1,0.02177
0.15,3,2,2070,0.36,2540,75000,0.22,0.1,1,0.02235
0.15,3,2,2070,0.36,2540,75000,0.22,0.2,1,0.02224
